Fruit,ML.PC1,ML.PC2,Lee.2005.X,Lee.2005.Y
apricot,-3.52E+02,1.54E+02,0.18646,-0.13536
apricot,-3.60E+02,3.09E+01,0.18646,-0.13536
banana,-1.58E+01,4.19E+02,-0.24019,0.26
banana,5.71E+01,4.13E+02,-0.24019,0.26
banana,-1.34E+02,4.95E+02,-0.24019,0.26
banana,-1.54E+01,3.89E+02,-0.24019,0.26
banana,-1.39E+02,5.77E+02,-0.24019,0.26
banana,7.30E+00,2.62E+02,-0.24019,0.26
banana,-4.93E+01,5.89E+02,-0.24019,0.26
banana,-4.01E+01,3.48E+02,-0.24019,0.26
banana,7.22E+01,3.31E+02,-0.24019,0.26
banana,3.24E+01,5.08E+02,-0.24019,0.26
olive,1.28E+02,2.11E+02,0.53913,-0.21396
olive,6.90E+01,1.87E+02,0.53913,-0.21396
olive,1.48E+02,-2.42E+00,0.53913,-0.21396
olive,1.98E+02,1.11E+02,0.53913,-0.21396
olive,1.59E+02,1.85E+02,0.53913,-0.21396
olive,1.49E+02,2.22E+02,0.53913,-0.21396
olive,-8.16E+01,-1.49E+02,0.53913,-0.21396
olive,1.12E+02,-2.19E+02,0.53913,-0.21396
olive,1.54E+02,9.76E+01,0.53913,-0.21396
olive,2.99E+00,3.55E+01,0.53913,-0.21396
grape,4.97E+02,-7.49E+01,0.048029,-0.15462
grape,5.61E+02,2.66E+01,0.048029,-0.15462
grape,3.91E+02,-2.40E+01,0.048029,-0.15462
grape,3.08E+02,2.71E+02,0.048029,-0.15462
grape,2.87E+02,3.23E+02,0.048029,-0.15462
grape,3.09E+02,3.65E+02,0.048029,-0.15462
grape,4.33E+02,1.79E+01,0.048029,-0.15462
grape,4.12E+02,5.76E+01,0.048029,-0.15462
grape,4.79E+02,1.35E+02,0.048029,-0.15462
grape,1.48E+02,-3.72E+02,0.048029,-0.15462
pineapple,9.58E+02,8.23E+02,-0.27782,-8.70E-05
pineapple,3.05E+02,3.57E+02,-0.27782,-8.70E-05
pineapple,1.36E+03,8.80E+02,-0.27782,-8.70E-05
pineapple,1.03E+03,7.33E+02,-0.27782,-8.70E-05
pineapple,1.18E+03,7.29E+02,-0.27782,-8.70E-05
pineapple,9.24E+02,7.92E+02,-0.27782,-8.70E-05
pineapple,3.21E+01,4.90E+02,-0.27782,-8.70E-05
pineapple,7.82E+02,4.43E+02,-0.27782,-8.70E-05
pineapple,2.40E+02,3.90E+02,-0.27782,-8.70E-05
pineapple,1.40E+03,9.15E+02,-0.27782,-8.70E-05
tomato,8.91E+00,-6.39E+02,0.402,-0.022442
tomato,2.41E+02,-8.52E+02,0.402,-0.022442
tomato,1.21E+02,-6.79E+02,0.402,-0.022442
tomato,1.71E+02,-5.02E+02,0.402,-0.022442
tomato,9.74E+01,-1.44E+02,0.402,-0.022442
tomato,1.38E+02,-5.47E+02,0.402,-0.022442
tomato,9.50E+01,-4.75E+02,0.402,-0.022442
tomato,9.46E+01,-1.45E+02,0.402,-0.022442
tomato,2.06E+02,-5.86E+02,0.402,-0.022442
tomato,2.15E+02,-5.24E+02,0.402,-0.022442
orange,-5.90E+02,2.60E+02,-0.19546,-0.18287
orange,-6.23E+02,2.53E+02,-0.19546,-0.18287
orange,-7.43E+02,-1.08E+02,-0.19546,-0.18287
orange,-7.82E+02,1.39E+02,-0.19546,-0.18287
orange,-6.59E+02,-7.33E+01,-0.19546,-0.18287
orange,-8.78E+02,-1.32E+02,-0.19546,-0.18287
orange,-8.91E+02,1.54E+02,-0.19546,-0.18287
orange,-6.91E+02,1.31E+02,-0.19546,-0.18287
orange,-6.17E+02,-3.81E-01,-0.19546,-0.18287
orange,-4.15E+02,-1.79E+02,-0.19546,-0.18287
peach,-1.35E+02,-2.32E+02,0.23747,0.2494
peach,-2.96E+02,-9.88E+01,0.23747,0.2494
peach,-2.27E+02,-2.81E+02,0.23747,0.2494
peach,-8.81E+01,-2.17E+02,0.23747,0.2494
peach,-8.68E+01,-2.54E+02,0.23747,0.2494
peach,-6.87E+01,-1.92E+02,0.23747,0.2494
peach,4.64E+00,-2.04E+02,0.23747,0.2494
peach,-3.31E+02,-1.42E+02,0.23747,0.2494
peach,-1.04E+02,-1.83E+02,0.23747,0.2494
peach,-9.38E+01,-1.55E+02,0.23747,0.2494
