,PC1,PC2
145,15.801418072221384,154.23223655745275
146,-157.24766532854008,83.0248121233897
147,-172.33432407042193,121.19686288713382
148,-9.953116276710157,145.79501188841002
149,-116.28475947085941,86.14044656031051
150,99.36225212295444,-100.99091038193579
151,63.708389338896104,-57.014778150487324
152,227.68062683424947,-123.78501115154825
153,252.85543544823543,-102.10860733090034
154,53.00002993067124,-102.60848361484909
155,46.083059813678766,-24.802555294675127
156,53.30772369350433,-100.84487345870679
157,105.87647967081956,-104.97429102221737
158,-32.60368391885335,-55.233309092585266
159,106.92560403713631,83.74062564278138
160,-21.042606966017168,13.482104640674015
161,-47.96957062904379,12.513513136970904
162,-5.146336045584963,26.444661452856792
163,-32.83353788101586,14.800072092167753
164,64.39458961433142,46.57990228892755
165,-75.39143210377676,66.72027657067011
